# id	length	x	y	z	rot_z	rot_y	rot_x
104	0.3	0.0	4.0	0	0	0	0
140	0.3	1.0	4.0	0	0	0	0
160	0.3	2.0	4.0	0	0	0	0
143	0.3	3.0	4.0	0	0	0	0
132	0.3	4.0	4.0	0	0	0	0
125	0.3	5.0	4.0	0	0	0	0
120	0.3	6.0	4.0	0	0	0	0
139	0.3	7.0	4.0	0	0	0	0
147	0.3	0.0	3.0	0	0	0	0
148	0.3	1.0	3.0	0	0	0	0
133	0.3	2.0	3.0	0	0	0	0
123	0.3	3.0	3.0	0	0	0	0
136	0.3	4.0	3.0	0	0	0	0
137	0.3	5.0	3.0	0	0	0	0
154	0.3	6.0	3.0	0	0	0	0
105	0.3	7.0	3.0	0	0	0	0
124	0.3	0.0	2.0	0	0	0	0
146	0.3	1.0	2.0	0	0	0	0
144	0.3	2.0	2.0	0	0	0	0
145	0.3	3.0	2.0	0	0	0	0
159	0.3	4.0	2.0	0	0	0	0
127	0.3	5.0	2.0	0	0	0	0
151	0.3	6.0	2.0	0	0	0	0
156	0.3	7.0	2.0	0	0	0	0
130	0.3	0.0	1.0	0	0	0	0
101	0.3	1.0	1.0	0	0	0	0
128	0.3	2.0	1.0	0	0	0	0
135	0.3	3.0	1.0	0	0	0	0
142	0.3	4.0	1.0	0	0	0	0
150	0.3	5.0	1.0	0	0	0	0
100	0.3	6.0	1.0	0	0	0	0
110	0.3	7.0	1.0	0	0	0	0
106	0.3	0.0	0.0	0	0	0	0
149	0.3	1.0	0.0	0	0	0	0
122	0.3	2.0	0.0	0	0	0	0
129	0.3	3.0	0.0	0	0	0	0
108	0.3	4.0	0.0	0	0	0	0
138	0.3	5.0	0.0	0	0	0	0
152	0.3	6.0	0.0	0	0	0	0
126	0.3	7.0	0.0	0	0	0	0
